City_ID,City,Latitude,Longitude,Max Temperature (C),Humidity (%),Cloudiness (%),Wind Speed (m/sec),Country,Date
349,annaberg-buchholz,50.5795,13.0063,8.51,87,100,2.68,DE,1698524043
350,ar ruways,24.1103,52.7306,27.23,50,0,1.18,AE,1698524043
351,st. john's,47.5649,-52.7093,13.87,95,98,2.24,CA,1698523924
352,stettler,52.3168,-112.7186,-1.81,86,98,10.29,CA,1698524044
353,urangan,-25.3,152.9,20.14,58,41,6.13,AU,1698524044
354,bucerias,20.75,-105.3333,31.66,66,40,5.14,MX,1698524044
355,abadeh,31.1608,52.6506,14.28,37,98,0.77,IR,1698524044
356,petukhovo,55.0692,67.9019,-3.16,77,100,5.15,RU,1698524044
357,saint-leu,-21.15,55.2833,23.46,95,19,2.8,RE,1698524044
358,deming,32.2687,-107.7586,24.94,22,0,4.12,US,1698523938
